================================================================================
CRAWLER V2
================================================================================
Fuente: Dirección General de Aeronáutica Civil
URL configurada: https://www.dgac.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.dgac.gob.bo
  Utilizada: https://www.dgac.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.dgac.gob.bo/

URL de trabajo: https://www.dgac.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_24_DGAC] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.dgac.gob.bo/
[FULL_24_DGAC] t= 261.5s | pag=148 | files=1674 | data=  5 | cola= 360 | prio=50 | https://www.dgac.gob.bo/politicas-institucionales-2/
[FULL_24_DGAC] t= 263.6s | pag=149 | files=1674 | data=  5 | cola= 359 | prio=50 | https://www.dgac.gob.bo/presentaciones-sexto-seminario-anual-de-seguridad-en-aeronavegabilidad/
[FULL_24_DGAC] t= 265.3s | pag=150 | files=1687 | data=  5 | cola= 358 | prio=50 | https://www.dgac.gob.bo/procedimiento-para-la-elaboracion-de-nuevos-reglamentos-o-enmiendas-a-la-rab/
[FULL_24_DGAC] t= 267.1s | pag=151 | files=1688 | data=  5 | cola= 357 | prio=50 | https://www.dgac.gob.bo/procedimiento-para-la-otorgacion-de-excepciones-a-la-rab/
[FULL_24_DGAC] t= 268.8s | pag=152 | files=1689 | data=  5 | cola= 356 | prio=50 | https://www.dgac.gob.bo/procedimiento-para-la-otorgacion-de-excepciones-a-la-rab/listado-de-excepciones/
[FULL_24_DGAC] t= 270.4s | pag=153 | files=1689 | data=  5 | cola= 355 | prio=50 | https://www.dgac.gob.bo/procedimiento-para-la-otorgacion-de-excepciones-a-la-rab/politica-y-procedimiento/
[FULL_24_DGAC] t= 272.0s | pag=154 | files=1689 | data=  5 | cola= 354 | prio=50 | https://www.dgac.gob.bo/procedimientos-de-gestion-y-servicios/
[FULL_24_DGAC] t= 274.2s | pag=155 | files=1689 | data=  5 | cola= 353 | prio=50 | https://www.dgac.gob.bo/propuesta-de-enmienda-a-la-rab/
[FULL_24_DGAC] t= 275.9s | pag=156 | files=1689 | data=  5 | cola= 352 | prio=50 | https://www.dgac.gob.bo/prorroga/
[FULL_24_DGAC] t= 277.5s | pag=157 | files=1689 | data=  5 | cola= 351 | prio=50 | https://www.dgac.gob.bo/prorrogas-a-los-periodos-de-validez-de-licencias-certificados-medicos-y-habilitaciones/
[FULL_24_DGAC] t= 279.1s | pag=158 | files=1694 | data=  5 | cola= 350 | prio=50 | https://www.dgac.gob.bo/protocolo-autorizaciones-de-vuelos-no-regulares/
[FULL_24_DGAC] t= 280.8s | pag=159 | files=1696 | data=  5 | cola= 349 | prio=50 | https://www.dgac.gob.bo/registro-publico-de-aeronaves/
[FULL_24_DGAC] t= 282.5s | pag=160 | files=1696 | data=  5 | cola= 348 | prio=50 | https://www.dgac.gob.bo/registro-y-habilitacion-de-aerodromos-de-uso-comunitario/
[FULL_24_DGAC] t= 284.4s | pag=161 | files=1696 | data=  5 | cola= 347 | prio=50 | https://www.dgac.gob.bo/reglamento-de-faltas-y-sanciones/
[FULL_24_DGAC] t= 286.3s | pag=162 | files=1697 | data=  5 | cola= 346 | prio=50 | https://www.dgac.gob.bo/relaciones-internacionales/
[FULL_24_DGAC] t= 288.0s | pag=163 | files=1697 | data=  5 | cola= 345 | prio=50 | https://www.dgac.gob.bo/rendicion-de-cuentas-publicas/
[FULL_24_DGAC] t= 289.7s | pag=164 | files=1697 | data=  5 | cola= 344 | prio=50 | https://www.dgac.gob.bo/delegacion-de-autoridad/
[FULL_24_DGAC] t= 290.0s | pag=165 | files=1698 | data=  5 | cola= 343 | prio=50 | https://www.dgac.gob.bo/rm-197/
[FULL_24_DGAC] t= 292.8s | pag=166 | files=1699 | data=  5 | cola= 342 | prio=50 | https://www.dgac.gob.bo/resoluciones-administrativas-avsec/
[FULL_24_DGAC] t= 294.6s | pag=167 | files=1703 | data=  5 | cola= 341 | prio=50 | https://www.dgac.gob.bo/drones-2/
[FULL_24_DGAC] t= 296.2s | pag=168 | files=1704 | data=  5 | cola= 340 | prio=50 | https://www.dgac.gob.bo/seguimiento-de-tramites/
[FULL_24_DGAC] t= 298.0s | pag=169 | files=1704 | data=  5 | cola= 339 | prio=50 | https://www.dgac.gob.bo/sgc-sistemas/

[BATCH] TIMEOUT DE FUENTE
